case,abc,ric3_baseline,ric3_dynamic,ric3_adaptive,ric3_reverse_topo,ric3_reverse_topo_inn,ric3_flip_high,ric3_dynamic_reverse_topo,ric3_multi_mic,ric3_mab,baseline_speedup,dynamic_speedup,dynamic_vs_baseline_ratio,adaptive_vs_baseline_ratio,adaptive_vs_dynamic_ratio,reverse_vs_baseline_ratio,reverse_topo_inn_vs_baseline_ratio,reverse_vs_dynamic_ratio,reverse_topo_inn_vs_dynamic_ratio,flip_vs_baseline_ratio,dynamic_reverse_topo_vs_baseline_ratio,dynamic_reverse_topo_vs_dynamic_ratio,mab_vs_dynamic_ratio
oski15a14b14s,0.05,0.19,0.23,0.59,0.2,0.14,0.19,0.21,0.23,0.18,3.8,4.6,0.8260869565217391,0.3220338983050848,0.3898305084745763,0.95,1.357142857142857,1.15,1.6428571428571428,1.0,0.9047619047619048,1.0952380952380953,1.277777777777778
bobsm9234,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h_b08,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,
atxfifo-p49,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,,,,0.0,0.0,,,,,,,,0.0
pdtvsarmultip02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,
imgfifo-p094,0.01,0.02,0.02,0.06,0.02,0.01,0.02,0.02,0.02,0.02,2.0,2.0,1.0,0.33333333333333337,0.33333333333333337,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0
pipeline,3600.0,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,2.777777777777778e-06,2.777777777777778e-06,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bobsynth09neg,0.01,0.02,0.02,0.13,0.02,0.01,0.01,0.02,0.02,0.05,2.0,2.0,1.0,0.15384615384615385,0.15384615384615385,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.39999999999999997
qspiflash_dualflexpress_divthree-p089,0.0,0.03,0.03,0.05,0.03,0.07,0.03,0.03,0.02,0.03,inf,inf,1.0,0.6,0.6,1.0,0.4285714285714285,1.0,0.4285714285714285,1.0,1.0,1.0,1.0
yosyshq_appnote_123_cv32e40x-p463,0.1,5.94,4.9,20.81,5.78,2.45,5.77,4.34,50.98,63.83,59.4,49.0,1.2122448979591838,0.28543969245555023,0.2354637193656896,1.027681660899654,2.4244897959183676,0.8477508650519031,2.0,1.02946273830156,1.3686635944700463,1.1290322580645162,0.07676641077863075
yosyshq_appnote_123_cv32e40x-p348,0.11,2.36,2.68,15.62,2.38,0.47,2.24,2.3,2.81,4.32,21.454545454545453,24.363636363636363,0.880597014925373,0.15108834827144688,0.1715749039692702,0.9915966386554622,5.0212765957446805,1.1260504201680674,5.702127659574469,1.0535714285714284,1.0260869565217392,1.165217391304348,0.6203703703703703
oski15a10b00s,0.06,0.77,0.77,1.22,0.79,0.17,0.7,0.82,0.95,0.85,12.833333333333334,12.833333333333334,1.0,0.6311475409836066,0.6311475409836066,0.9746835443037974,4.529411764705882,0.9746835443037974,4.529411764705882,1.1,0.9390243902439025,0.9390243902439025,0.9058823529411765
gen90,5.71,4.7,4.37,4.91,4.24,0.24,4.32,4.53,10.19,2.65,0.8231173380035026,0.7653239929947461,1.0755148741418765,0.9572301425661914,0.890020366598778,1.1084905660377358,19.583333333333336,1.0306603773584906,18.208333333333336,1.087962962962963,1.0375275938189845,0.9646799116997792,1.649056603773585
gen33,0.01,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,,0.0,0.0,,,,,,,,0.0
circular_pointer_top_w128_d128_e0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
nusmvtcasp3,0.0,10.49,10.68,11.17,12.61,3.76,10.75,12.67,61.31,50.36,inf,inf,0.9822097378277154,0.9391226499552373,0.9561324977618622,0.8318794607454402,2.789893617021277,0.8469468675654243,2.8404255319148937,0.9758139534883721,0.8279400157853197,0.8429360694554064,0.21207307386814933
shift_register_top_w64_d128_e0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
