log_file,filename,full_aig_path,status,time,frame,sat_solving_time,sat_solving_percent,total_time
pdtvistimeout0_log.txt,pdtvistimeout0.aig,./hwmcc11/single/pdtvistimeout0.aig,PROVED,2.24,29,344.8,77.88,442.72
6s306rb03_log.txt,6s306rb03.aig,./hwmcc13/single/6s306rb03.aig,PROVED,0.0,14,0.57,48.4,1.17
6s364rb03158_log.txt,6s364rb03158.aig,./hwmcc13/single/6s364rb03158.aig,PROVED,0.0,3,0.01,1.11,1.09
cal41_log.txt,cal41.aig,./hwmcc1920cal/cal41.aig,PROVED,0.0,2,0.01,34.8,0.04
elevator.4.prop1-func-interl_log.txt,elevator.4.prop1-func-interl.aig,./hwmcc20/aig-1.8/elevator.4.prop1-func-interl.aig,PROVED,0.0,4,0.02,42.22,0.05
qspiflash_qflexpress_divfive-p122_log.txt,qspiflash_qflexpress_divfive-p122.aig,./hwmcc20/aig-1.8/qspiflash_qflexpress_divfive-p122.aig,PROVED,0.0,3,0.02,45.66,0.04
6s389b02_log.txt,6s389b02.aig,./hwmcc14/single/6s389b02.aig,BUG,0.06,0,0.0,0.06,0.05
pdtvisfifos_log.txt,pdtvisfifos.aig,./hwmcc08/pdtvisfifos.aig,BUG,0.01,0,0.0,0.2,0.01
139444p5neg_log.txt,139444p5neg.aig,./hwmcc08/139444p5neg.aig,BUG,1.04,3,0.37,36.08,1.03
6s291rb77_log.txt,6s291rb77.aig,./hwmcc14/single/6s291rb77.aig,PROVED,0.0,9,0.07,52.61,0.13
nusmvdme116_log.txt,nusmvdme116.aig,./hwmcc11/single/nusmvdme116.aig,UNKNOWN,,N/A,N/A,N/A,N/A
lann.4.prop1-back-serstep_log.txt,lann.4.prop1-back-serstep.aig,./hwmcc19/single/aig/beem/lann.4.prop1-back-serstep.aig,UNKNOWN,,N/A,N/A,N/A,N/A
139453p6neg_log.txt,139453p6neg.aig,./hwmcc08/139453p6neg.aig,BUG,1.95,5,0.69,35.35,1.94
stack-p2_log.txt,stack-p2.aig,./hwmcc24/2020/mann/stack-p2.aig,PROVED,0.0,8,0.0,4.36,0.05
bj08vsar12_log.txt,bj08vsar12.aig,./hwmcc08/bj08vsar12.aig,BUG,0.02,1,0.0,0.29,0.01
oski15a07b0s_log.txt,oski15a07b0s.aig,./hwmcc15/oski15a07b0s.aig,UNKNOWN,,N/A,N/A,N/A,N/A
imgfifo-p092_log.txt,imgfifo-p092.aig,./others/vgasim-imgfifo/aig/imgfifo-p092.aig,PROVED,0.0,3,0.0,9.05,0.02
pdtvisvsar09_log.txt,pdtvisvsar09.aig,./hwmcc08/pdtvisvsar09.aig,PROVED,0.0,4,0.01,22.26,0.02
pdtvisvsar19_log.txt,pdtvisvsar19.aig,./hwmcc08/pdtvisvsar19.aig,PROVED,0.0,2,0.0,4.38,0.01
imgfifo-p082_log.txt,imgfifo-p082.aig,./others/vgasim-imgfifo/aig/imgfifo-p082.aig,PROVED,0.0,1,0.0,0.0,0.01
fastfir-p089_log.txt,fastfir-p089.aig,./others/fastfir/aig/fastfir-p089.aig,PROVED,0.03,19,11.03,69.06,15.97
rast-p11_log.txt,rast-p11.aig,./hwmcc20/aig-1.8/rast-p11.aig,PROVED,0.0,2,0.0,0.12,0.1
qspiflash_qflexpress_divfive-p038_log.txt,qspiflash_qflexpress_divfive-p038.aig,./hwmcc20/aig-1.8/qspiflash_qflexpress_divfive-p038.aig,PROVED,0.0,13,0.07,49.67,0.13
gen9_log.txt,gen9.aig,./avr/industry/gen9/gen9.aig,PROVED,0.0,1,0.0,2.77,0.02
fastfir-p099_log.txt,fastfir-p099.aig,./others/fastfir/aig/fastfir-p099.aig,PROVED,0.01,15,0.77,52.5,1.47
rast-p01_log.txt,rast-p01.aig,./hwmcc20/aig-1.8/rast-p01.aig,PROVED,0.0,1,0.0,0.07,0.11
pdtvisns2p3_log.txt,pdtvisns2p3.aig,./hwmcc08/pdtvisns2p3.aig,PROVED,0.0,2,0.0,7.98,0.02
cal33_log.txt,cal33.aig,./hwmcc1920cal/cal33.aig,PROVED,0.0,2,0.03,52.98,0.06
6s28_log.txt,6s28.aig,./hwmcc11/single/6s28.aig,UNKNOWN,,N/A,N/A,N/A,N/A
picorv32_mutCY_nomem-p8_log.txt,picorv32_mutCY_nomem-p8.aig,./hwmcc24/2019/wolf/2019A/picorv32_mutCY_nomem-p8.aig,UNKNOWN,,N/A,N/A,N/A,N/A
cal23_log.txt,cal23.aig,./avr/industry/cal23/cal23.aig,PROVED,0.0,2,0.0,5.6,0.02
139442p24_log.txt,139442p24.aig,./hwmcc08/139442p24.aig,BUG,3.07,4,1.64,53.41,3.07
6s38_log.txt,6s38.aig,./hwmcc-appr/6s38.aig,UNKNOWN,,N/A,N/A,N/A,N/A
6s299b685_log.txt,6s299b685.aig,./hwmcc14/single/6s299b685.aig,UNKNOWN,,N/A,N/A,N/A,N/A
oc8051gm95pc_log.txt,oc8051gm95pc.aig,./hwmcc1517/oc8051gm95pc.aig,UNKNOWN,,N/A,N/A,N/A,N/A
oski15a14b27s_log.txt,oski15a14b27s.aig,./hwmcc15/oski15a14b27s.aig,UNKNOWN,,N/A,N/A,N/A,N/A
bobsmi2c_log.txt,bobsmi2c.aig,./hwmcc-appr/bobsmi2c.aig,PROVED,0.01,49,3.69,74.94,4.92
oski15a14b26s_log.txt,oski15a14b26s.aig,./hwmcc15/oski15a14b26s.aig,UNKNOWN,,N/A,N/A,N/A,N/A
transmitter.10.cil_log.txt,transmitter.10.cil.aig,./hwmcc24/2024/sosylab/systemc/transmitter.10.cil.aig,BUG,636.07,6,486.31,76.46,636.0
pdtvisvsa16a25_log.txt,pdtvisvsa16a25.aig,./hwmcc08/pdtvisvsa16a25.aig,PROVED,0.0,2,0.0,3.14,0.02
cal102_log.txt,cal102.aig,./hwmcc20/aig/cal102.aig,PROVED,0.88,4,120.38,95.67,125.83
atxfifo-p11_log.txt,atxfifo-p11.aig,./others/atxfifo/aig/atxfifo-p11.aig,UNKNOWN,,N/A,N/A,N/A,N/A
bobsmcodic_log.txt,bobsmcodic.aig,./hwmcc11/single/bobsmcodic.aig,UNKNOWN,,N/A,N/A,N/A,N/A
processed_hl_arr_access_128_bv_log.txt,processed_hl_arr_access_128_bv.aig,./hwmcc24/2024/hku/bv/safe/processed_hl_arr_access_128_bv.aig,UNKNOWN,,N/A,N/A,N/A,N/A
circular_pointer_top_w32_d16_e0_log.txt,circular_pointer_top_w32_d16_e0.aig,./hwmcc1920sat/circular_pointer_top_w32_d16_e0.aig,BUG,758.13,21,600.45,79.21,758.08
vis_QF_BV_vMiim_p2_log.txt,vis_QF_BV_vMiim_p2.aig,./avr/opensource/vis_QF_BV_vMiim_p2/vis_QF_BV_vMiim_p2.aig,BUG,0.01,3,0.0,2.48,0.01
zipcpu-pfcache-p13_log.txt,zipcpu-pfcache-p13.aig,./hwmcc20/aig-1.8/zipcpu-pfcache-p13.aig,PROVED,0.0,8,0.1,44.61,0.21
atxfifo-p01_log.txt,atxfifo-p01.aig,./others/atxfifo/aig/atxfifo-p01.aig,PROVED,0.0,1,0.0,0.33,0.01
cal112_log.txt,cal112.aig,./hwmcc20/aig/cal112.aig,PROVED,0.96,4,221.45,97.42,227.32
pdtvsarmultip25_log.txt,pdtvsarmultip25.aig,./hwmcc11/single/pdtvsarmultip25.aig,PROVED,0.0,2,0.0,1.15,0.02
oski15a01b12s_log.txt,oski15a01b12s.aig,./hwmcc15/oski15a01b12s.aig,UNKNOWN,,N/A,N/A,N/A,N/A
oski15a01b13s_log.txt,oski15a01b13s.aig,./hwmcc15/oski15a01b13s.aig,UNKNOWN,,N/A,N/A,N/A,N/A
vis_QF_BV_s1269b_p3_log.txt,vis_QF_BV_s1269b_p3.aig,./avr/opensource/vis_QF_BV_s1269b_p3/vis_QF_BV_s1269b_p3.aig,PROVED,0.0,3,0.0,1.58,0.01
nusmvtcastp2_log.txt,nusmvtcastp2.aig,./hwmcc08/nusmvtcastp2.aig,PROVED,0.0,18,0.24,54.54,0.45
fastfir-p030_log.txt,fastfir-p030.aig,./others/fastfir/aig/fastfir-p030.aig,PROVED,0.04,18,13.5,61.2,22.05
pdtpmspalu_log.txt,pdtpmspalu.aig,./hwmcc11/single/pdtpmspalu.aig,PROVED,0.01,7,4.6,85.38,5.39
6s209b0_log.txt,6s209b0.aig,./hwmcc14/single/6s209b0.aig,PROVED,0.0,5,0.01,12.45,0.09
fastfir-p020_log.txt,fastfir-p020.aig,./others/fastfir/aig/fastfir-p020.aig,UNKNOWN,,N/A,N/A,N/A,N/A
eijks208_log.txt,eijks208.aig,./hwmcc11/single/eijks208.aig,PROVED,0.0,34,0.03,41.9,0.07
6s320rb0_log.txt,6s320rb0.aig,./hwmcc13/single/6s320rb0.aig,UNKNOWN,,N/A,N/A,N/A,N/A
6s384rb024_log.txt,6s384rb024.aig,./hwmcc14/single/6s384rb024.aig,PROVED,0.0,2,0.0,0.76,0.06
zipcpu-zipmmu-p10_log.txt,zipcpu-zipmmu-p10.aig,./hwmcc19/single/aig/wolf/2018D/zipcpu-zipmmu-p10.aig,UNKNOWN,,N/A,N/A,N/A,N/A
vis_arrays_am2901_log.txt,vis_arrays_am2901.aig,./hwmcc20/aig-1.8/vis_arrays_am2901.aig,BUG,0.02,19,0.0,12.94,0.02
a17-p08_log.txt,a17-p08.aig,./x-epic-2024/aig/a17-p08.aig,UNKNOWN,,N/A,N/A,N/A,N/A
zipcpu-zipmmu-p00_log.txt,zipcpu-zipmmu-p00.aig,./hwmcc1920ns/zipcpu-zipmmu-p00.aig,UNKNOWN,,N/A,N/A,N/A,N/A
arbitrated_top_n4_w8_d32_e0_log.txt,arbitrated_top_n4_w8_d32_e0.aig,./hwmcc24/2019/mann/data-integrity/unsafe/arbitrated_top_n4_w8_d32_e0.aig,UNKNOWN,,N/A,N/A,N/A,N/A
mono-crafted_8_log.txt,mono-crafted_8.aig,./hwmcc24/2024/sosylab/loops-crafted-1/mono-crafted_8.aig,UNKNOWN,,N/A,N/A,N/A,N/A
qspiflash_qflexpress_divfive-p075_log.txt,qspiflash_qflexpress_divfive-p075.aig,./hwmcc20/aig-1.8/qspiflash_qflexpress_divfive-p075.aig,PROVED,0.13,84,140.58,66.88,210.2
picorv32_mutCX_nomem-p2_log.txt,picorv32_mutCX_nomem-p2.aig,./hwmcc24/2019/wolf/2019A/picorv32_mutCX_nomem-p2.aig,UNKNOWN,,N/A,N/A,N/A,N/A
oc8051gme2addr_log.txt,oc8051gme2addr.aig,./hwmcc1517/oc8051gme2addr.aig,UNKNOWN,,N/A,N/A,N/A,N/A
qspiflash_dualflexpress_divthree-p006_log.txt,qspiflash_dualflexpress_divthree-p006.aig,./hwmcc20/aig-1.8/qspiflash_dualflexpress_divthree-p006.aig,PROVED,0.0,5,0.38,68.23,0.56
6s327rb10_log.txt,6s327rb10.aig,./hwmcc13/single/6s327rb10.aig,PROVED,0.0,9,0.01,27.26,0.05
pdtvisns3p11_log.txt,pdtvisns3p11.aig,./hwmcc08/pdtvisns3p11.aig,BUG,0.02,0,0.0,0.26,0.01
pdtvisns3p01_log.txt,pdtvisns3p01.aig,./hwmcc11/single/pdtvisns3p01.aig,PROVED,0.01,7,0.61,80.05,0.76
zipversa_composecrc_prf-p20_log.txt,zipversa_composecrc_prf-p20.aig,./hwmcc19/single/aig/wolf/2019C/zipversa_composecrc_prf-p20.aig,PROVED,0.0,7,0.02,45.0,0.04
pdtvsar8multip24_log.txt,pdtvsar8multip24.aig,./hwmcc11/single/pdtvsar8multip24.aig,PROVED,0.0,2,0.0,0.51,0.02
pdtvishuffman2_log.txt,pdtvishuffman2.aig,./hwmcc08/pdtvishuffman2.aig,PROVED,0.0,4,0.0,12.0,0.02
gen56_log.txt,gen56.aig,./avr/industry/gen56/gen56.aig,PROVED,0.03,1,2.33,38.05,6.11
picorv32_mutAX_nomem-p8_log.txt,picorv32_mutAX_nomem-p8.aig,./hwmcc19/single/aig/wolf/2019A/picorv32_mutAX_nomem-p8.aig,UNKNOWN,,N/A,N/A,N/A,N/A
gen46_log.txt,gen46.aig,./avr/industry/gen46/gen46.aig,PROVED,0.0,1,0.29,38.13,0.75
pc_sfifo_2.cil-1+token_ring.11.cil-2_log.txt,pc_sfifo_2.cil-1+token_ring.11.cil-2.aig,./hwmcc24/2024/sosylab/combinations/pc_sfifo_2.cil-1+token_ring.11.cil-2.aig,UNKNOWN,,N/A,N/A,N/A,N/A
marlann_compute_cp_fail2-p0_log.txt,marlann_compute_cp_fail2-p0.aig,./hwmcc20/aig-1.8/marlann_compute_cp_fail2-p0.aig,PROVED,0.0,10,0.07,59.92,0.11
fastfir-p115_log.txt,fastfir-p115.aig,./others/fastfir/aig/fastfir-p115.aig,PROVED,0.05,18,25.23,69.62,36.23
a08-p2_log.txt,a08-p2.aig,./x-epic-2024/aig/a08-p2.aig,BUG,0.01,1,0.0,0.42,0.01
oski15a01b64s_log.txt,oski15a01b64s.aig,./hwmcc15/oski15a01b64s.aig,UNKNOWN,,N/A,N/A,N/A,N/A
fastfir-p105_log.txt,fastfir-p105.aig,./others/fastfir/aig/fastfir-p105.aig,PROVED,0.0,16,0.64,52.03,1.23
cal229_log.txt,cal229.aig,./avr/industry/cal229/cal229.aig,UNKNOWN,,N/A,N/A,N/A,N/A
bobsynthand_log.txt,bobsynthand.aig,./hwmcc1517/bobsynthand.aig,PROVED,0.0,1,0.0,0.0,0.03
imgfifo-p076_log.txt,imgfifo-p076.aig,./others/vgasim-imgfifo/aig/imgfifo-p076.aig,PROVED,0.0,17,1.15,65.74,1.75
beemtrngt5f1_log.txt,beemtrngt5f1.aig,./hwmcc13/single/beemtrngt5f1.aig,UNKNOWN,,N/A,N/A,N/A,N/A
139452p6_log.txt,139452p6.aig,./hwmcc08/139452p6.aig,BUG,0.83,3,0.31,37.6,0.83
imgfifo-p066_log.txt,imgfifo-p066.aig,./others/vgasim-imgfifo/aig/imgfifo-p066.aig,PROVED,0.0,1,0.0,0.19,0.02
vcegar_arrays_itc99_b12_p2_log.txt,vcegar_arrays_itc99_b12_p2.aig,./hwmcc1920ns/vcegar_arrays_itc99_b12_p2.aig,UNKNOWN,,N/A,N/A,N/A,N/A
bj08autg3f3_log.txt,bj08autg3f3.aig,./hwmcc08/bj08autg3f3.aig,BUG,0.01,2,0.0,2.24,0.01
gen112_log.txt,gen112.aig,./avr/industry/gen112/gen112.aig,PROVED,0.03,1,2.16,37.7,5.72
oski15a14b19s_log.txt,oski15a14b19s.aig,./hwmcc15/oski15a14b19s.aig,BUG,0.07,1,0.0,0.8,0.06
pdtpmss1269b_log.txt,pdtpmss1269b.aig,./hwmcc08/pdtpmss1269b.aig,PROVED,0.0,7,0.01,24.59,0.03
imgfifo-p014_log.txt,imgfifo-p014.aig,./others/vgasim-imgfifo/aig/imgfifo-p014.aig,PROVED,0.0,1,0.0,0.2,0.02
oski15a14b18s_log.txt,oski15a14b18s.aig,./hwmcc15/oski15a14b18s.aig,PROVED,0.0,2,0.0,5.5,0.07
6s381rb630_log.txt,6s381rb630.aig,./hwmcc14/single/6s381rb630.aig,PROVED,0.0,4,0.0,1.01,0.12
gen102_log.txt,gen102.aig,./avr/industry/gen102/gen102.aig,PROVED,0.03,1,2.17,38.61,5.62
imgfifo-p004_log.txt,imgfifo-p004.aig,./others/vgasim-imgfifo/aig/imgfifo-p004.aig,PROVED,0.0,1,0.0,0.2,0.02
oski1rub09_log.txt,oski1rub09.aig,./hwmcc13/single/oski1rub09.aig,UNKNOWN,,N/A,N/A,N/A,N/A
abp4ptimoneg_log.txt,abp4ptimoneg.aig,./hwmcc11/single/abp4ptimoneg.aig,BUG,2.77,20,2.16,78.1,2.76
prodcellp4_log.txt,prodcellp4.aig,./hwmcc-appr/prodcellp4.aig,BUG,16.78,137,12.95,77.34,16.75
arbitrated_top_n3_w8_d16_e0_log.txt,arbitrated_top_n3_w8_d16_e0.aig,./hwmcc20/aig/arbitrated_top_n3_w8_d16_e0.aig,BUG,459.79,18,366.83,79.79,459.75
pcip1neg_log.txt,pcip1neg.aig,./hwmcc08/pcip1neg.aig,BUG,0.02,3,0.0,2.34,0.02
zipcpu-busdelay-p00_log.txt,zipcpu-busdelay-p00.aig,./hwmcc20/aig-1.8/zipcpu-busdelay-p00.aig,PROVED,0.13,25,18.01,79.11,22.77
zipcpu-busdelay-p10_log.txt,zipcpu-busdelay-p10.aig,./hwmcc24/2019/wolf/2018D/zipcpu-busdelay-p10.aig,PROVED,0.0,15,0.17,73.49,0.23
pdtvismiim3_log.txt,pdtvismiim3.aig,./hwmcc08/pdtvismiim3.aig,PROVED,0.0,1,0.0,0.82,0.01
gen34_log.txt,gen34.aig,./avr/industry/gen34/gen34.aig,PROVED,0.01,2,0.04,39.36,0.09
139463p0_log.txt,139463p0.aig,./hwmcc08/139463p0.aig,PROVED,0.0,4,0.89,36.94,2.41
oski1rub09i_log.txt,oski1rub09i.aig,./hwmcc14/single/oski1rub09i.aig,UNKNOWN,,N/A,N/A,N/A,N/A
gen24_log.txt,gen24.aig,./avr/industry/gen24/gen24.aig,PROVED,0.0,2,0.0,0.96,0.02
oski1rub08i_log.txt,oski1rub08i.aig,./hwmcc14/single/oski1rub08i.aig,UNKNOWN,,N/A,N/A,N/A,N/A
vis_arrays_vsaR_p02_log.txt,vis_arrays_vsaR_p02.aig,./avr/opensource/vis_arrays_vsaR_p02/vis_arrays_vsaR_p02.aig,PROVED,0.0,4,0.0,3.46,0.01
ILA_Ridecore_SLT_sanity_log.txt,ILA_Ridecore_SLT_sanity.aig,./hwmcc24/2024/hku/refinement_checking/bv/ILA_Ridecore_SLT_sanity.aig,UNKNOWN,,N/A,N/A,N/A,N/A
6s17_log.txt,6s17.aig,./hwmcc11/single/6s17.aig,UNKNOWN,,N/A,N/A,N/A,N/A
v_non-pipelined-microprocessor_log.txt,v_non-pipelined-microprocessor.aig,./avr/opensource/v_non-pipelined-microprocessor/v_non-pipelined-microprocessor.aig,BUG,0.01,0,0.0,0.33,0.01
cal184_log.txt,cal184.aig,./avr/industry/cal184/cal184.aig,PROVED,0.0,4,0.03,12.67,0.21
vis_arrays_vsaR_p12_log.txt,vis_arrays_vsaR_p12.aig,./avr/opensource/vis_arrays_vsaR_p12/vis_arrays_vsaR_p12.aig,PROVED,0.0,5,0.0,16.2,0.02
vgasim_imgfifo-p085_log.txt,vgasim_imgfifo-p085.aig,./hwmcc19/single/aig/wolf/2019C/vgasim_imgfifo-p085.aig,PROVED,0.0,12,0.04,50.07,0.09
cal194_log.txt,cal194.aig,./avr/industry/cal194/cal194.aig,UNKNOWN,,N/A,N/A,N/A,N/A
pi_bus_log.txt,pi_bus.aig,./avr/opensource/pi_bus/pi_bus.aig,PROVED,0.0,1,0.0,0.0,0.01
